HID,Title,X,Y,Realm_Mode,NonTree_Mean,Bare_Mean,Tree_Mean,Density_Mean,Elevation_Mean,KoppenGeiger_Mode,AnnualPET_Mean,AridityIndexThornthwaite_Mean,ClimaticMoistureIndex_Mean,Continentality_Mean,EmbergerQ_Mean,GrowingDegDays0_Mean,GrowingDegDays5_Mean,MaxTempColdest_Mean,MinTempWarmest_Mean,MonthCountByTemp10_Mean,PETColdestQuarter_Mean,PETDriestQuarter_Mean,PETSeasonality_Mean,PETWarmestQuarter_Mean,PETWettestQuarter_Mean,ThermicityIndex_Mean,BIO01_Mean,BIO02_Mean,BIO03_Mean,BIO04_Mean,BIO05_Mean,BIO06_Mean,BIO07_Mean,BIO08_Mean,BIO09_Mean,BIO10_Mean,BIO11_Mean,BIO12_Mean,BIO13_Mean,BIO14_Mean,BIO15_Mean,BIO16_Mean,BIO17_Mean,BIO18_Mean,BIO19_Mean,NPPt,NPPp,NPP,Invertivores..1kg,Invertivores.1.10kg,Invertivores..10kg,Herbivores..1kg,Herbivores.1.10kg,Herbivores.10.44kg,Herbivores.44.100kg,Herbivores.100.500kg,Herbivores.500.1000kg,Herbivores..1000kg,Omnivores..1kg,Omnivores.1.10kg,Omnivores..10kg,Carnivores..1kg,Carnivores.1.10kg,Carnivores.10.44kg,Carnivores.44.100kg,Carnivores..100kg
La Venta Mammals + all crocodilia + Tortoises + Teiids + C.portai + E.stirtoni,La Venta Mammals + all crocodilia + Tortoises + Teiids + C.portai + E.stirtoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,6,3,4,1,2,0,0,1,6,1,5
La Venta Mammals + Langstonia + Mourasuchus + Purussaurus + Gryposuchus (adjusted),La Venta Mammals + Langstonia + Mourasuchus + Purussaurus + Gryposuchus (adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,3,1,3
La Venta Mammals + Langstonia + Mourasuchus + Purussaurus + Gryposuchus,La Venta Mammals + Langstonia + Mourasuchus + Purussaurus + Gryposuchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,2,1,4
La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai + E.stirtoni (adjusted),La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai + E.stirtoni (adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,9,2,4,3,4,1,2,0,2,3,3,1,0
La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai + E.stirtoni,La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai + E.stirtoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,6,3,4,1,2,0,0,1,5,1,1
La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai (adjusted),La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai (adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,9,2,4,3,4,1,2,0,1,3,3,1,0
La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai,La Venta Mammals + Langstonia + Tortoises + Teiids + C.portai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,6,3,4,1,2,0,0,1,4,1,1
La Venta Mammals + Birds,La Venta Mammals + Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,0,14,16,7,2,4,3,4,1,2,0,0,4,2,1,0
La Venta Mammals + All Crocodilia (energy corrected),La Venta Mammals + All Crocodilia (energy corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,2,3,2,3
La Venta Mammals + All Crocodilia,La Venta Mammals + All Crocodilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,3,2,5
